eduardobi_prodPicName_arbol,417.93,752.18,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
eduardobi_prodPicName_arbol1,511.82,768.57,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
eduardobi_prodPicName_arbol2,648.21,908.51,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
eduardobi_prodPicName_bala,448.13,700.08,-96.12,-13.85,677.66,373.81,1.19,5.55,bala
eduardobi_prodPicName_bala1,620.29,849.31,-100.68,-20.15,638.55,290.74,1.22,15.21,bala
eduardobi_prodPicName_bala2,478.84,828.99,-92.78,-10.59,504.23,422.01,1.66,10.33,bala
eduardobi_prodPicName_bola,470.49,782.73,-90.71,-17.05,482.78,243.15,1.31,21.86,bola
eduardobi_prodPicName_bola1,392.83,660.42,-100.11,-9.77,321.63,254.52,1.24,12.09,bola
eduardobi_prodPicName_bola2,537.68,832.19,-73.17,-13.76,228.78,171.65,2.58,52.64,bola
eduardobi_prodPicName_caca,324.80,735.53,26.23,-9.27,3373.91,2926.07,0.74,-0.99,caca
eduardobi_prodPicName_caca1,504.81,732.78,30.38,-13.79,2288.83,1977.34,2.05,4.62,caca
eduardobi_prodPicName_caca2,498.58,712.02,32.81,-4.93,2529.18,2814.52,1.37,0.72,caca
eduardobi_prodPicName_coco,496.50,794.64,25.47,-15.31,979.80,701.08,9.16,90.89,coco
eduardobi_prodPicName_coco1,290.03,503.30,26.65,-11.46,800.29,594.91,9.71,112.00,coco
eduardobi_prodPicName_coco2,306.36,501.66,27.79,-6.38,893.81,608.38,9.54,129.71,coco
eduardobi_prodPicName_dado,540.24,844.41,-78.31,-15.46,571.43,452.61,5.51,68.89,dado
eduardobi_prodPicName_dado1,394.02,736.34,-119.14,-9.17,485.69,562.78,3.51,24.04,dado
eduardobi_prodPicName_dado2,362.07,635.79,-162.40,-9.69,307.89,371.20,5.87,79.00,dado
eduardobi_prodPicName_dodo,324.22,545.71,-123.95,-15.21,368.64,332.78,6.68,97.98,dodo
eduardobi_prodPicName_dodo1,284.12,655.50,-115.81,-10.10,220.11,199.07,10.34,268.10,dodo
eduardobi_prodPicName_dodo2,553.12,921.67,-106.84,-12.07,247.99,763.63,6.57,49.23,dodo
eduardobi_prodPicName_gato,364.38,697.22,-95.76,-15.85,639.01,707.93,4.20,36.42,gato
eduardobi_prodPicName_gato1,571.32,901.63,-116.69,-11.44,430.44,970.84,5.72,39.29,gato
eduardobi_prodPicName_gato2,520.80,634.53,-100.97,-18.39,291.98,434.82,6.60,84.38,gato
eduardobi_prodPicName_gota,411.25,739.03,-86.43,-21.67,684.60,671.88,9.10,116.83,gota
eduardobi_prodPicName_gota1,409.43,722.17,-132.71,-12.31,704.80,618.38,7.04,90.15,gota
eduardobi_prodPicName_gota2,403.23,725.97,-80.30,-22.21,372.07,234.24,4.52,111.39,gota
eduardobi_prodPicName_lapiz,454.30,809.71,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_lapiz1,536.29,848.78,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_lapiz2,561.33,838.67,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_libro,371.87,593.61,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_libro1,484.88,756.87,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_libro2,333.74,622.63,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_manzana,264.23,719.23,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_manzana1,242.33,871.23,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_manzana2,264.81,698.56,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_mochila,443.52,732.06,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_mochila1,426.57,706.43,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_mochila2,705.46,880.55,0,-22.21,372.07,234.24,4.52,111.39,diss
eduardobi_prodPicName_palo,415.23,719.02,9.44,-17.55,651.77,306.46,0.78,12.40,palo
eduardobi_prodPicName_palo1,481.67,585.23,0.56,-14.86,404.90,298.14,3.43,83.46,palo
eduardobi_prodPicName_palo2,478.27,637.79,10.25,-13.55,471.92,373.04,1.92,22.11,palo
eduardobi_prodPicName_polo,475.03,711.31,14.18,-13.40,182.76,157.10,11.35,622.79,polo
eduardobi_prodPicName_polo1,340.31,581.47,12.38,-4.68,256.93,314.27,13.85,382.62,polo
eduardobi_prodPicName_polo2,400.84,624.80,9.93,-14.96,145.23,143.88,23.57,1377.33,polo
eduardobi_prodPicName_silla,427.63,777.59,0,-14.96,145.23,143.88,23.57,1377.33,diss
eduardobi_prodPicName_silla1,176.68,737.91,0,-14.96,145.23,143.88,23.57,1377.33,diss
eduardobi_prodPicName_silla2,391.98,772.97,0,-14.96,145.23,143.88,23.57,1377.33,diss
eduardobi_prodPicName_sol,213.59,669.56,0,-14.96,145.23,143.88,23.57,1377.33,diss
eduardobi_prodPicName_sol1,205.67,724.73,0,-14.96,145.23,143.88,23.57,1377.33,diss
eduardobi_prodPicName_sol2,539.34,865.52,-0.88,-4.50,661.02,1338.74,2.98,9.53,diss
eduardobi_prodPicName_sombrero,396.73,733.91,0,-4.50,661.02,1338.74,2.98,9.53,diss
eduardobi_prodPicName_sombrero1,392.69,656.01,0,-4.50,661.02,1338.74,2.98,9.53,diss
eduardobi_prodPicName_sombrero2,366.81,704.89,-0.89,-4.54,203.93,228.95,13.79,393.96,diss
eduardobi_prodPicName_taco,501.65,596.75,8.65,-12.76,345.47,1261.82,6.34,40.92,taco
eduardobi_prodPicName_taco1,441.44,516.99,11.25,-19.11,413.10,930.98,5.50,36.11,taco
eduardobi_prodPicName_taco2,314.82,513.78,15.28,-11.87,377.64,964.13,5.92,39.14,taco
eduardobi_prodPicName_topo,183.36,817.27,13.26,-20.17,281.11,632.77,9.06,104.62,topo
eduardobi_prodPicName_topo1,451.62,834.46,13.37,-13.41,219.12,534.93,11.71,185.49,topo
eduardobi_prodPicName_topo2,262.59,583.48,7.37,-19.86,262.35,280.35,14.42,407.44,topo
